CVE_EST,NOM_EST,CVE_MUN,NOM_MUN,GINI,Enf_int_xhab,ind_ingreso,IMN_2020,A_ve_m2,PORC_C_ALIM,PERS_C_ASBV,PORC_POB_IILP,PCDISC_MOT,porc_sin_tratar,Porc_ab_msup,pje_pob_15ymas_edbasinc_2020,pib_estatal,PE_INAC,Pob_des,rsu_sin_rec,sup_sin_total,u_panag,Pje_vivnodinter_2020,tasa_unidades_eco,tot_del_fc,PSINDER,VPH_NODREN,p_sind,personal_seguridad ,ec_co2e,uem50,carretera_km,TOT_INV_CARR,TOT_INV_AGUA,TOT_INV_ESPE,SPDCD_T,t_lamp_lumi_alumb_pub,p_disp_seg,pres_eje_seg_mun,pob_ben_beca,Tiendas liconsa
13,Hidalgo,27,Huehuetla,0.354504,23.59,0.651,0.765,0.013744889,47.83370668,19.04786702,84.09501273,624,100.00,26.49,53.33,0.05,7453,1.18,"22,415",0.015653997,67.25,92.9,107.41,110,2894,924,12.67,21,14768,0,185.84,132394304.6,1175963.786,4052299.63,2,1184,1,17 093 056,"4,242.41",16
13,Hidalgo,28,Huejutla de Reyes,0.392997,12.78,0.696,0.840,0.400167369,46.364541,16.8251937,67.4204347,2863,100.00,25.54,39.38,1.79,40515,4.27,"32,137",0,76.54,77.7,48.84,1443,23699,2931,18.69,159,151114,1,383.07,282650120,9305432.14,139036961.4,95,6500,1091,6 659 367,"31,307.27",78
13,Hidalgo,29,Huichapan,0.320897,24.12,0.723,0.878,0.11269069,19.64327669,5.384291721,57.43510502,1671,96.85,22.40,33.22,0.94,15176,3.59,"26,910",0.567348422,41.91,71.1,30.53,992,13451,1285,28.36,29,674823,5,117.86,78123653.66,19968570.7,16205998.76,60,6727,605,35 481 148,"6,598.17",28
13,Hidalgo,30,Ixmiquilpan,0.345571,28.29,0.733,0.885,0.306340288,31.74414097,5.632222995,55.08558031,2348,96.85,24.60,30.80,1.49,23900,4.75,"18,385",0.952008235,90.73,68.1,62.17,1456,37186,1445,37.69,66,216943,0,226.84,153069357.4,82844248,80406939.74,115,12841,470,25 571 047,"12,751.63",10
13,Hidalgo,31,Jacala de Ledezma,0.334421,23.27,0.734,0.845,0.087451643,12.79631846,6.048842496,65.75339615,409,96.85,21.64,42.83,0.09,4503,0.36,"2,748",0,46.74,77.1,46.36,134,1662,269,13.52,19,22897,0,196.66,43823278.77,1914348.78,11648812.26,,1515,45,9 105 999,"1,220.12",15
13,Hidalgo,32,Jaltocán,0.333357,9.22,0.674,0.835,0.25687205,36.7710854,19.04484218,84.85283449,252,100.00,22.96,46.58,0.06,3699,0.56,0,0,77.12,92.5,74.26,60,1136,195,10.80,22,20698,0,30.23,47057979.97,2716038.562,0,,1071,56,7 872 812,"1,575.56",10
13,Hidalgo,33,Juárez Hidalgo,0.332142,21.42,0.68,0.854,0,10.591133,5.4539057,74.1308237,138,100.00,24.79,42.53,0.00,1502,0.14,"3,050",0,57.01,74.6,20,15,738,69,25.49,12,1684,0,65.77,39053124.08,3771262.64,629748.32,,400,16,2 863 132,355.12,4
13,Hidalgo,34,Lolotla,0.328415,20.37,0.633,0.820,0,30.81861958,21.74424826,72.99156397,398,96.85,25.19,40.38,0.23,3755,0.62,"7,769",0,68.74,95.5,59.52,67,1701,199,17.95,15,119334,0,184,59166988.59,206136.96,0,2,951,68,7 904 307,"1,466.28",16
13,Hidalgo,35,Metepec,0.304373,12.23,0.705,0.860,0.024010991,18.43350221,6.963454085,63.50034375,290,100.00,24.32,38.41,0.39,4123,0.67,"6,694",0.169753485,64.92,78.8,52.38,105,5788,323,44.26,13,47467,0,117.21,18785655.18,2278839.8,3146961.02,3,1780,27,9 684 600,"1,252",2
13,Hidalgo,36,San Agustín Metzquititlán,0.314087,15.45,0.687,0.865,0.066465391,15.89482796,9.467647695,64.59910079,297,100.00,31.08,37.16,0.06,3660,0.66,"2,339",0,80.29,82.3,46.03,102,3075,278,32.54,31,7551,0,115.28,85119750.54,11215698.69,1906930.324,1,1305,23,7 069 509,803.92,14
13,Hidalgo,37,Metztitlán,0.317281,18.99,0.703,0.829,0.22944025,27.66893077,9.305264804,66.44639638,790,100.00,28.26,45.64,0.11,7265,1.49,"19,907",0,84.18,78.7,67.08,219,6998,597,33.38,17,29152,0,379.09,173325616.1,0,1198570.67,3,1866,64,15 684 243,"2,798.16",21
13,Hidalgo,38,Mineral del Chico,0.341574,36.83,0.712,0.844,0.166249752,13.53170386,8.111937655,55.32563089,277,100.00,23.41,36.48,0.01,2406,0.43,"5,154",2.464644094,75.77,75.0,97.8,216,3219,279,36.26,22,6948,0,71.55,144487298,7219208.579,2673110.9,5,1400,20,6 642 894,"1,273.91",11
13,Hidalgo,39,Mineral del Monte,0.327937,26.11,0.73,0.897,0.109611749,24.34464517,5.930747395,62.208402,505,100.00,12.82,25.27,0.14,4831,1.20,"3,189",8.962048468,74.54,56.9,53.54,300,5137,72,35.86,26,27277,1,167.84,42587593.02,1766268.528,2578611.82,12,1679,120,9 663 660,519.31,4
